"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.42655206381631e-16,8,17,228.245306633292,"Nitrogen metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00910 "," CA9  CA14  CA6  CA1  CA3  CA4  CA7  CA5A"
4.53239368775983e-07,7,126,26.9456264775414,"Cell cycle","http://www.genome.jp/kegg-bin/show_pathway?hsa04110 "," CCND1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  PRKDC"
9.66421844976566e-06,15,1527,4.76445261881871,"Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CA12  PIK3C3  ARSA  CA9  GLS  CA14  EPHX2  CA6  CA1  PDXK  CA3  CA4  CA7  CA5B  CA5A"
0.00055637845297545,5,156,15.5455537370431,"Cellular senescence","http://www.genome.jp/kegg-bin/show_pathway?hsa04218 "," CCND1  CCNA1  CCNB3  CCNB2  CCNE2"
0.00670255485469228,4,150,12.9339007092199,"Adrenergic signaling in cardiomyocytes","http://www.genome.jp/kegg-bin/show_pathway?hsa04261 "," KCNE1  SCN5A  KCNQ1  CACNA1C"
0.00857444669293293,3,73,19.9323812299621,"P53 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04115 "," CCND1  CCNB2  CCNE2"
0.00857444669293293,6,475,6.12658454647256,"Pathways of neurodegeneration","http://www.genome.jp/kegg-bin/show_pathway?hsa05022 "," PIK3C3  CDK5R1  HTT  ATXN2  TUBB  CACNA1C"
0.0150090082407663,3,100,14.5506382978723,"Progesterone-mediated oocyte maturation","http://www.genome.jp/kegg-bin/show_pathway?hsa04914 "," CCNA1  CCNB3  CCNB2"
0.0150090082407663,2,23,42.1757631822387,"Proximal tubule bicarbonate reclamation","http://www.genome.jp/kegg-bin/show_pathway?hsa04964 "," GLS  CA4"
0.0150090082407663,4,222,8.73912210082423,"Human T-cell leukemia virus 1 infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05166 "," CCND1  CCNA1  CCNB2  CCNE2"
0.0295485669612716,3,131,11.1073574792919,"FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CCND1  CCNB3  CCNB2"
