"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.37311921737304e-16,10,41,118.297872340426,"One-carbon metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006730"," CA12  CA9  CA14  CA6  CA1  CA3  CA4  CA7  CA5B  CA5A"
6.37311921737304e-16,10,42,115.48125633232,"Bicarbonate transport "," http://amigo.geneontology.org/amigo/term/GO:0015701"," CA12  CA9  CA14  CA6  CA1  CA3  CA4  CA7  CA5B  CA5A"
1.45530421928034e-08,8,98,39.5935735996526,"Regulation of cyclin-dependent protein serine/threonine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0000079"," CCND1  PKD2  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1"
1.51175758108455e-08,8,102,38.0408844388819,"Regulation of cyclin-dependent protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:1904029"," CCND1  PKD2  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1"
2.06297019360272e-06,10,390,12.4364429896345,"Organic anion transport "," http://amigo.geneontology.org/amigo/term/GO:0015711"," CA12  CA9  CA14  CA6  CA1  CA3  CA4  CA7  CA5B  CA5A"
7.23240688420392e-06,17,1720,4.79381494309748,"Ion transport "," http://amigo.geneontology.org/amigo/term/GO:0006811"," CA12  CA9  CA14  PKD2  CA6  CA1  CA3  CA4  CA7  CA5B  KCND3  CA5A  KCNE1  SCN5A  HTT  KCNQ1  CACNA1C"
7.85252130815582e-06,9,344,12.6895101434933,"Regulation of protein serine/threonine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0071900"," CCND1  PKD2  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1  HTT"
4.77064961891267e-05,10,573,8.46459470498682,"Anion transport "," http://amigo.geneontology.org/amigo/term/GO:0006820"," CA12  CA9  CA14  CA6  CA1  CA3  CA4  CA7  CA5B  CA5A"
7.14949128317656e-05,15,1595,4.56132862002268,"Regulation of phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019220"," THPO  VRK3  CCND1  PKD2  PIN1  CCNA1  CCNH  PARP1  CCNB3  PDK1  CCNB2  CCNE2  CDK5R1  HTT  PRKDC"
7.14949128317656e-05,15,1595,4.56132862002268,"Regulation of phosphorus metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051174"," THPO  VRK3  CCND1  PKD2  PIN1  CCNA1  CCNH  PARP1  CCNB3  PDK1  CCNB2  CCNE2  CDK5R1  HTT  PRKDC"
0.000113925296469904,15,1678,4.33570867040296,"Protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0006468"," PIK3C3  THPO  VRK3  CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  PDK1  CCNB2  CCNE2  CDK5R1  HTT  PRKDC"
0.000113925296469904,4,34,57.0613266583229,"Ventricular cardiac muscle cell action potential "," http://amigo.geneontology.org/amigo/term/GO:0086005"," KCND3  KCNE1  SCN5A  CACNA1C"
0.000213527997679493,4,41,47.3191489361702,"Regulation of heart rate by cardiac conduction "," http://amigo.geneontology.org/amigo/term/GO:0086091"," KCND3  KCNE1  SCN5A  CACNA1C"
0.000394552574370977,12,1167,4.98736531203851,"Regulation of protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0001932"," THPO  CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1  HTT  PRKDC"
0.000486571798889813,4,52,37.3093289689034,"Cardiac muscle cell action potential involved in contraction "," http://amigo.geneontology.org/amigo/term/GO:0086002"," KCND3  KCNE1  SCN5A  CACNA1C"
0.000497026561319323,12,1209,4.81410696372948,"Regulation of cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0051726"," PIK3C3  CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  HPGD  CCNE2  CDK5R1  TUBB"
0.00114811581838842,9,697,6.26282853566959,"Regulation of protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0045859"," CCND1  PKD2  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1  HTT"
0.00133304673110127,12,1355,4.29539137944571,"Regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042325"," THPO  CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1  HTT  PRKDC"
0.00133304673110127,4,70,27.7155015197568,"Cardiac muscle cell contraction "," http://amigo.geneontology.org/amigo/term/GO:0086003"," KCND3  KCNE1  SCN5A  CACNA1C"
0.00149498411179767,13,1644,3.83532639643837,"Regulation of protein modification process "," http://amigo.geneontology.org/amigo/term/GO:0031399"," THPO  VRK3  CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1  HTT  PRKDC"
0.00149498411179767,10,948,5.11625819193824,"Regulation of transferase activity "," http://amigo.geneontology.org/amigo/term/GO:0051338"," CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1  HTT"
0.00149498411179767,4,74,26.2173663024727,"Cardiac muscle cell action potential "," http://amigo.geneontology.org/amigo/term/GO:0086001"," KCND3  KCNE1  SCN5A  CACNA1C"
0.00149498411179767,3,25,58.2025531914894,"Ventricular cardiac muscle cell membrane repolarization "," http://amigo.geneontology.org/amigo/term/GO:0099625"," KCND3  KCNE1  SCN5A"
0.00182054332786243,2,4,242.510638297872,"Positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity "," http://amigo.geneontology.org/amigo/term/GO:0031587"," PKD2  HTT"
0.00182054332786243,2,4,242.510638297872,"Membrane depolarization during atrial cardiac muscle cell action potential "," http://amigo.geneontology.org/amigo/term/GO:0098912"," SCN5A  CACNA1C"
0.00210961452460638,8,606,6.40292114317815,"Regulation of system process "," http://amigo.geneontology.org/amigo/term/GO:0044057"," GLS  PIN1  PARP1  THRB  KCND3  KCNE1  SCN5A  CACNA1C"
0.00217126226310377,3,30,48.5021276595745,"Positive regulation of cyclin-dependent protein serine/threonine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0045737"," CCND1  PKD2  CDK5R1"
0.00217529090939387,8,615,6.30921985815603,"Mitotic cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044772"," CCND1  PKD2  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  TUBB"
0.00223653306086642,10,1021,4.7504532477546,"Mitotic cell cycle process "," http://amigo.geneontology.org/amigo/term/GO:1903047"," CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  HTT  TUBB"
0.00243649021803725,9,824,5.29756248708944,"Regulation of kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0043549"," CCND1  PKD2  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  CDK5R1  HTT"
0.00244374714728215,2,5,194.008510638298,"Regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity "," http://amigo.geneontology.org/amigo/term/GO:0031585"," PKD2  HTT"
0.00260324590680971,9,839,5.20285040448355,"Ion homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0050801"," CA12  GLP1R  GLS  PKD2  PARP1  CA7  SCN5A  HTT  CACNA1C"
0.00260324590680971,3,34,42.7959949937422,"Positive regulation of cyclin-dependent protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:1904031"," CCND1  PKD2  CDK5R1"
0.00291863685132313,8,659,5.88796693894682,"Cell division "," http://amigo.geneontology.org/amigo/term/GO:0051301"," PIK3C3  CCND1  PIN1  CCNA1  CCNB3  CCNB2  CCNE2  TUBB"
0.00292019411582928,3,36,40.4184397163121,"Cardiac muscle cell membrane repolarization "," http://amigo.geneontology.org/amigo/term/GO:0099622"," KCND3  KCNE1  SCN5A"
0.00306596640193983,4,103,18.8357777318736,"Regulation of heart rate "," http://amigo.geneontology.org/amigo/term/GO:0002027"," KCND3  KCNE1  SCN5A  CACNA1C"
0.00306715522809123,2,6,161.673758865248,"Membrane depolarization during AV node cell action potential "," http://amigo.geneontology.org/amigo/term/GO:0086045"," SCN5A  CACNA1C"
0.00432659409493491,13,1910,3.30119193494486,"Regulation of transport "," http://amigo.geneontology.org/amigo/term/GO:0051049"," PIK3C3  GLP1R  PKD2  RAB9A  CA7  KCND3  CDK5R1  KCNE1  SCN5A  HTT  ATXN2  KCNQ1  CACNA1C"
0.00455681359490382,10,1166,4.15970220064961,"Mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0000278"," CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  HTT  TUBB"
0.00455681359490382,9,937,4.65868888939349,"Regulation of protein localization "," http://amigo.geneontology.org/amigo/term/GO:0032880"," PIK3C3  GLP1R  RAB9A  PIN1  PARP1  CCNE2  CDK5R1  KCNE1  CACNA1C"
0.00455681359490382,7,533,6.36988543371522,"Regulation of ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0034765"," PKD2  KCND3  KCNE1  SCN5A  HTT  KCNQ1  CACNA1C"
0.00455681359490382,8,725,5.35195891415994,"Cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044770"," CCND1  PKD2  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  TUBB"
0.00455681359490382,4,120,16.1673758865248,"Actin-mediated cell contraction "," http://amigo.geneontology.org/amigo/term/GO:0070252"," KCND3  KCNE1  SCN5A  CACNA1C"
0.00455681359490382,3,45,32.3347517730496,"Membrane repolarization "," http://amigo.geneontology.org/amigo/term/GO:0086009"," KCND3  KCNE1  SCN5A"
0.0046951393279718,2,8,121.255319148936,"Protein poly-ADP-ribosylation "," http://amigo.geneontology.org/amigo/term/GO:0070212"," TNKS2  PARP1"
0.00517113198170206,5,239,10.1468886317101,"Regulation of heart contraction "," http://amigo.geneontology.org/amigo/term/GO:0008016"," THRB  KCND3  KCNE1  SCN5A  CACNA1C"
0.00549860593122301,13,1997,3.15737435941146,"Cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0007049"," PIK3C3  CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  HPGD  CCNE2  CDK5R1  HTT  TUBB"
0.00572035242984018,8,763,5.08541312289116,"Regulation of ion transport "," http://amigo.geneontology.org/amigo/term/GO:0043269"," PKD2  CA7  KCND3  KCNE1  SCN5A  HTT  KCNQ1  CACNA1C"
0.00576885118060999,5,248,9.7786547700755,"G1/S transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0000082"," CCND1  PKD2  CCNA1  CCNH  CCNE2"
0.00611889199477142,4,134,14.4782470625595,"Action potential "," http://amigo.geneontology.org/amigo/term/GO:0001508"," KCND3  KCNE1  SCN5A  CACNA1C"
0.00635028146149883,4,136,14.2653316645807,"Cardiac muscle contraction "," http://amigo.geneontology.org/amigo/term/GO:0060048"," KCND3  KCNE1  SCN5A  CACNA1C"
0.00637518826971551,11,1496,3.56633291614518,"Cell cycle process "," http://amigo.geneontology.org/amigo/term/GO:0022402"," PIK3C3  CCND1  PKD2  PIN1  CCNA1  CCNH  CCNB3  CCNB2  CCNE2  HTT  TUBB"
0.00682579711606867,4,142,13.6625711717111,"Response to ethanol "," http://amigo.geneontology.org/amigo/term/GO:0045471"," ARSA  CCND1  HPGD  CA3"
0.00682579711606867,10,1264,3.83719364395368,"Chemical homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0048878"," CA12  GLP1R  GLS  PKD2  EPHX2  PARP1  CA7  SCN5A  HTT  CACNA1C"
0.00682579711606867,4,141,13.7594688395956,"Cardiac conduction "," http://amigo.geneontology.org/amigo/term/GO:0061337"," KCND3  KCNE1  SCN5A  CACNA1C"
0.00682579711606867,5,263,9.22093681740959,"Response to alcohol "," http://amigo.geneontology.org/amigo/term/GO:0097305"," ARSA  CCND1  PARP1  HPGD  CA3"
0.00712727225930177,2,11,88.1856866537718,"AV node cell action potential "," http://amigo.geneontology.org/amigo/term/GO:0086016"," SCN5A  CACNA1C"
0.00712727225930177,2,11,88.1856866537718,"AV node cell to bundle of His cell signaling "," http://amigo.geneontology.org/amigo/term/GO:0086027"," SCN5A  CACNA1C"
0.0076968843379362,4,151,12.8482457376356,"Actin filament-based movement "," http://amigo.geneontology.org/amigo/term/GO:0030048"," KCND3  KCNE1  SCN5A  CACNA1C"
0.0076968843379362,7,622,5.45843880413218,"Regulation of transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0034762"," PKD2  KCND3  KCNE1  SCN5A  HTT  KCNQ1  CACNA1C"
0.0076968843379362,5,278,8.72340425531915,"Cell cycle G1/S phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044843"," CCND1  PKD2  CCNA1  CCNH  CCNE2"
0.0076968843379362,5,275,8.81856866537718,"Heart contraction "," http://amigo.geneontology.org/amigo/term/GO:0060047"," THRB  KCND3  KCNE1  SCN5A  CACNA1C"
0.0076968843379362,12,1832,3.17699526154418,"Response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," PIK3C3  ARSA  CA9  CCND1  GLP1R  PKD2  PARP1  HPGD  CA3  CDK5R1  KCNE1  PRKDC"
0.00774071946352213,2,12,80.8368794326241,"Protein auto-ADP-ribosylation "," http://amigo.geneontology.org/amigo/term/GO:0070213"," TNKS2  PARP1"
0.00827941131836623,5,285,8.50914520343412,"Heart process "," http://amigo.geneontology.org/amigo/term/GO:0003015"," THRB  KCND3  KCNE1  SCN5A  CACNA1C"
0.00837587184705919,6,448,6.49582066869301,"Muscle system process "," http://amigo.geneontology.org/amigo/term/GO:0003012"," PIN1  PARP1  KCND3  KCNE1  SCN5A  CACNA1C"
0.00883897354112469,5,291,8.33369891057981,"Regulation of blood circulation "," http://amigo.geneontology.org/amigo/term/GO:1903522"," THRB  KCND3  KCNE1  SCN5A  CACNA1C"
0.00959528911153375,5,300,8.08368794326241,"G2/M transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0000086"," CCND1  CCNH  CCNB3  CCNB2  TUBB"
0.00959528911153375,8,872,4.44973648252977,"Regulation of cellular localization "," http://amigo.geneontology.org/amigo/term/GO:0060341"," PKD2  PIN1  PARP1  CCNE2  CDK5R1  KCNE1  HTT  CACNA1C"
0.00959528911153375,2,14,69.2887537993921,"AV node cell to bundle of His cell communication "," http://amigo.geneontology.org/amigo/term/GO:0086067"," SCN5A  CACNA1C"
0.00959528911153375,2,14,69.2887537993921,"Membrane repolarization during ventricular cardiac muscle cell action potential "," http://amigo.geneontology.org/amigo/term/GO:0098915"," KCND3  KCNE1"
0.00963951183965072,12,1911,3.04565950766559,"Homeostatic process "," http://amigo.geneontology.org/amigo/term/GO:0042592"," CA12  GLP1R  GLS  PKD2  EPHX2  PARP1  CCNB2  CA7  SCN5A  HTT  PRKDC  CACNA1C"
0.0109938025017136,5,311,7.79776972018882,"Cell cycle G2/M phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044839"," CCND1  CCNH  CCNB3  CCNB2  TUBB"
0.0121847349100236,4,178,10.8993545302415,"Striated muscle contraction "," http://amigo.geneontology.org/amigo/term/GO:0006941"," KCND3  KCNE1  SCN5A  CACNA1C"
0.0125388025762642,4,180,10.7782505910165,"Telomere maintenance "," http://amigo.geneontology.org/amigo/term/GO:0000723"," TNKS2  PARP1  CCNE2  PRKDC"
